Dates;Category;Customer
14.04.2021 22:04;UNAUTHORIZED ACCESS;AKIMAT OF THE NUR-SULTAN
14.04.2021 21:22;UNAUTHORIZED ACCESS;HOUSE OF MINISTRIES
14.04.2021 21:00;DDOS;HOUSE OF MINISTRIES
14.04.2021 20:12;SPAM;AKIMAT OF THE NUR-SULTAN
14.04.2021 13:00;SECURITY SYSTEM FAULT;OFFICE OF THE PRIME-MINISTER
14.04.2021 8:00;INTERNAL OFFENER;PARLIAMENT
14.04.2021 4:15;MALWARE;MINISTRY OF DEFENCE
13.04.2021 23:54;UNAUTHORIZED ACCESS;OFFICE OF THE PRIME-MINISTER
13.04.2021 22:28;PHISHING;E-GOV DATA CENTER
13.04.2021 20:15;BOTNET;SUPREME COURT
13.04.2021 18:00;WEBSITE UNAVAILABILITY;MINISTRY OF DIGITAL DEVELOPMENT
13.04.2021 16:30;PHISHING;OFFICE OF THE PRESIDENT
13.04.2021 14:11;SPAM;MINISTRY OF DIGITAL DEVELOPMENT
13.04.2021 11:30;RANSOMWARE;OFFICE OF THE PRESIDENT
13.04.2021 10:58;PHISHING;PARLIAMENT
13.04.2021 7:30;INTERNAL OFFENER;MINISTRY OF DIGITAL DEVELOPMENT
13.04.2021 2:47;PHISHING;POLICE DEPARTMENT
05.04.2021 23:40;MALWARE;POLICE DEPARTMENT
05.04.2021 23:22;SPAM;OFFICE OF THE PRESIDENT
05.04.2021 21:44;MALWARE;HOUSE OF MINISTRIES
05.04.2021 21:30;SPAM;AKIMAT OF THE NUR-SULTAN
05.04.2021 21:15;SPAM;E-GOV DATA CENTER
05.04.2021 20:00;SECURITY SYSTEM FAULT;AKIMAT OF THE NUR-SULTAN
05.04.2021 19:31;UNAUTHORIZED ACCESS;HOUSE OF MINISTRIES
05.04.2021 18:29;SPAM;E-GOV DATA CENTER
05.04.2021 17:05;PHISHING;HOUSE OF MINISTRIES
05.04.2021 15:25;PHISHING;POLICE DEPARTMENT
05.04.2021 15:00;SPAM;SUPREME COURT
05.04.2021 6:53;UNAUTHORIZED ACCESS;SUPREME COURT
05.04.2021 4:42;SECURITY SYSTEM FAULT;POLICE DEPARTMENT
05.04.2021 1:45;SPAM;POLICE DEPARTMENT
05.04.2021 1:38;SPAM;POLICE DEPARTMENT
05.04.2021 0:25;MALWARE;E-GOV DATA CENTER
05.04.2021 0:25;NETWORK ATTACK;E-GOV DATA CENTER
04.04.2021 23:40;MALWARE;HOUSE OF MINISTRIES
04.04.2021 23:20;SPAM;MINISTRY OF DEFENCE
04.04.2021 23:00;PHISHING;E-GOV DATA CENTER
04.04.2021 22:50;SECURITY SYSTEM FAULT;E-GOV DATA CENTER
04.04.2021 22:18;SPAM;OFFICE OF THE PRIME-MINISTER
04.04.2021 21:50;MALWARE;E-GOV DATA CENTER
04.04.2021 20:36;PHISHING;HOUSE OF MINISTRIES
04.04.2021 18:30;PHISHING;HOUSE OF MINISTRIES
04.04.2021 17:07;PHISHING;MINISTRY OF DEFENCE
04.04.2021 14:19;MALWARE;OFFICE OF THE PRESIDENT
04.04.2021 13:47;SPAM;OFFICE OF THE PRIME-MINISTER
04.04.2021 13:28;MALWARE;AKIMAT OF THE NUR-SULTAN
04.04.2021 10:37;SPAM;AKIMAT OF THE NUR-SULTAN
04.04.2021 10:33;SPAM;HOUSE OF MINISTRIES
04.04.2021 10:00;BOTNET;POLICE DEPARTMENT
04.04.2021 8:08;DDOS;MINISTRY OF DEFENCE
04.04.2021 1:15;INTERNAL OFFENER;HOUSE OF MINISTRIES
04.04.2021 0:40;UNAUTHORIZED ACCESS;AKIMAT OF THE NUR-SULTAN
04.04.2021 0:30;SECURITY SYSTEM FAULT;POLICE DEPARTMENT
03.04.2021 23:25;PHISHING;AKIMAT OF THE NUR-SULTAN
03.04.2021 20:30;MALWARE;AKIMAT OF THE NUR-SULTAN
03.04.2021 13:23;SPAM;SUPREME COURT
03.04.2021 13:19;SPAM;POLICE DEPARTMENT
03.04.2021 10:15;SPAM;SUPREME COURT
02.04.2021 23:56;MALWARE;HOUSE OF MINISTRIES
02.04.2021 23:00;SECURITY SYSTEM FAULT;E-GOV DATA CENTER
02.04.2021 20:58;SPAM;AKIMAT OF THE NUR-SULTAN
02.04.2021 20:58;MALWARE;AKIMAT OF THE NUR-SULTAN
02.04.2021 18:30;PHISHING;POLICE DEPARTMENT
02.04.2021 18:10;SECURITY SYSTEM FAULT;AKIMAT OF THE NUR-SULTAN
02.04.2021 17:44;UNAUTHORIZED ACCESS;HOUSE OF MINISTRIES
02.04.2021 17:15;NETWORK ATTACK;MINISTRY OF DEFENCE
02.04.2021 15:11;PHISHING;SUPREME COURT
02.04.2021 15:00;BOTNET;E-GOV DATA CENTER
02.04.2021 12:58;NETWORK ATTACK;E-GOV DATA CENTER
02.04.2021 8:35;PHISHING;AKIMAT OF THE NUR-SULTAN
02.04.2021 7:00;INTERNAL OFFENER;OFFICE OF THE PRESIDENT
02.04.2021 1:25;SPAM;E-GOV DATA CENTER
01.04.2021 23:20;UNAUTHORIZED ACCESS;OFFICE OF THE PRESIDENT
01.04.2021 18:37;MALWARE;HOUSE OF MINISTRIES
01.04.2021 18:30;NETWORK ATTACK;OFFICE OF THE PRESIDENT
01.04.2021 17:59;MALWARE;HOUSE OF MINISTRIES
01.04.2021 17:30;NETWORK ATTACK;PARLIAMENT
01.04.2021 17:15;DDOS;HOUSE OF MINISTRIES
01.04.2021 16:56;NETWORK ATTACK;HOUSE OF MINISTRIES
01.04.2021 16:30;PHISHING;HOUSE OF MINISTRIES
01.04.2021 16:00;DDOS;AKIMAT OF THE NUR-SULTAN
01.04.2021 15:10;PHISHING;MINISTRY OF DIGITAL DEVELOPMENT
01.04.2021 14:07;PHISHING;AKIMAT OF THE NUR-SULTAN
01.04.2021 12:00;SPAM;MINISTRY OF DEFENCE
01.04.2021 8:30;MALWARE;POLICE DEPARTMENT
01.04.2021 8:30;NETWORK ATTACK;POLICE DEPARTMENT
01.04.2021 8:30;BOTNET;POLICE DEPARTMENT
01.04.2021 6:01;WEBSITE UNAVAILABILITY;HOUSE OF MINISTRIES
01.04.2021 0:01;SPAM;OFFICE OF THE PRESIDENT
31.03.2021 23:55;BOTNET;OFFICE OF THE PRIME-MINISTER
31.03.2021 22:18;UNAUTHORIZED ACCESS;SUPREME COURT
31.03.2021 21:00;SECURITY SYSTEM FAULT;AKIMAT OF THE NUR-SULTAN
31.03.2021 17:00;PHISHING;POLICE DEPARTMENT
31.03.2021 14:30;RANSOMWARE;MINISTRY OF DEFENCE
31.03.2021 14:20;SPAM;E-GOV DATA CENTER
31.03.2021 13:27;PHISHING;AKIMAT OF THE NUR-SULTAN
31.03.2021 12:58;MALWARE;MINISTRY OF DEFENCE
31.03.2021 12:18;SPAM;E-GOV DATA CENTER
31.03.2021 10:30;BOTNET;AKIMAT OF THE NUR-SULTAN
31.03.2021 10:18;SPAM;OFFICE OF THE PRESIDENT
31.03.2021 9:55;PHISHING;AKIMAT OF THE NUR-SULTAN
31.03.2021 7:32;SPAM;E-GOV DATA CENTER
31.03.2021 4:30;SPAM;POLICE DEPARTMENT
30.03.2021 22:45;BOTNET;AKIMAT OF THE NUR-SULTAN
30.03.2021 22:45;SPAM;AKIMAT OF THE NUR-SULTAN
30.03.2021 22:23;MALWARE;HOUSE OF MINISTRIES
30.03.2021 14:45;PHISHING;OFFICE OF THE PRIME-MINISTER
30.03.2021 14:30;DDOS;OFFICE OF THE PRIME-MINISTER
30.03.2021 10:59;NETWORK ATTACK;HOUSE OF MINISTRIES
30.03.2021 7:46;NETWORK ATTACK;HOUSE OF MINISTRIES
30.03.2021 4:45;SECURITY SYSTEM FAULT;HOUSE OF MINISTRIES
22.03.2021 21:30;SPAM;POLICE DEPARTMENT
22.03.2021 20:35;UNAUTHORIZED ACCESS;AKIMAT OF THE NUR-SULTAN
22.03.2021 20:15;MALWARE;OFFICE OF THE PRESIDENT
22.03.2021 19:00;DDOS;HOUSE OF MINISTRIES
22.03.2021 17:56;PHISHING;OFFICE OF THE PRESIDENT
22.03.2021 14:05;INTERNAL OFFENER;HOUSE OF MINISTRIES
22.03.2021 13:10;DDOS;SUPREME COURT
22.03.2021 10:30;BOTNET;POLICE DEPARTMENT
22.03.2021 10:30;MALWARE;POLICE DEPARTMENT
22.03.2021 6:32;UNAUTHORIZED ACCESS;SUPREME COURT
22.03.2021 1:32;DDOS;OFFICE OF THE PRESIDENT
22.03.2021 1:25;MALWARE;HOUSE OF MINISTRIES
21.03.2021 22:04;MALWARE;AKIMAT OF THE NUR-SULTAN
21.03.2021 21:20;PHISHING;MINISTRY OF DIGITAL DEVELOPMENT
21.03.2021 19:02;SPAM;MINISTRY OF DEFENCE
21.03.2021 18:30;PHISHING;POLICE DEPARTMENT
21.03.2021 18:00;PHISHING;POLICE DEPARTMENT
21.03.2021 14:11;MALWARE;OFFICE OF THE PRIME-MINISTER
21.03.2021 13:45;MALWARE;AKIMAT OF THE NUR-SULTAN
21.03.2021 10:30;PHISHING;MINISTRY OF DEFENCE
21.03.2021 10:00;SPAM;SUPREME COURT
21.03.2021 8:00;MALWARE;AKIMAT OF THE NUR-SULTAN
21.03.2021 7:46;UNAUTHORIZED ACCESS;OFFICE OF THE PRIME-MINISTER
21.03.2021 2:05;MALWARE;SUPREME COURT
21.03.2021 1:32;MALWARE;OFFICE OF THE PRIME-MINISTER
21.03.2021 0:01;RANSOMWARE;MINISTRY OF DIGITAL DEVELOPMENT
20.03.2021 23:45;UNAUTHORIZED ACCESS;POLICE DEPARTMENT
20.03.2021 23:35;UNAUTHORIZED ACCESS;POLICE DEPARTMENT
20.03.2021 23:00;MALWARE;HOUSE OF MINISTRIES
20.03.2021 22:46;UNAUTHORIZED ACCESS;POLICE DEPARTMENT
20.03.2021 22:38;MALWARE;E-GOV DATA CENTER
20.03.2021 22:27;UNAUTHORIZED ACCESS;POLICE DEPARTMENT
20.03.2021 21:20;SPAM;HOUSE OF MINISTRIES
20.03.2021 18:30;PHISHING;POLICE DEPARTMENT
20.03.2021 15:01;NETWORK ATTACK;POLICE DEPARTMENT
20.03.2021 14:45;INTERNAL OFFENER;E-GOV DATA CENTER
20.03.2021 13:15;SPAM;E-GOV DATA CENTER
20.03.2021 12:11;BOTNET;POLICE DEPARTMENT
20.03.2021 6:30;SECURITY SYSTEM FAULT;E-GOV DATA CENTER
20.03.2021 2:41;PHISHING;OFFICE OF THE PRESIDENT
20.03.2021 1:10;DDOS;SUPREME COURT
19.03.2021 17:32;SPAM;OFFICE OF THE PRESIDENT
19.03.2021 17:00;PHISHING;POLICE DEPARTMENT
19.03.2021 16:37;SPAM;HOUSE OF MINISTRIES
19.03.2021 14:51;PHISHING;AKIMAT OF THE NUR-SULTAN
19.03.2021 14:00;SPAM;AKIMAT OF THE NUR-SULTAN
19.03.2021 13:00;PHISHING;SUPREME COURT
19.03.2021 8:00;PHISHING;E-GOV DATA CENTER
19.03.2021 5:20;PHISHING;MINISTRY OF DIGITAL DEVELOPMENT
19.03.2021 0:53;NETWORK ATTACK;POLICE DEPARTMENT
19.03.2021 0:20;MALWARE;HOUSE OF MINISTRIES
19.03.2021 0:14;BOTNET;AKIMAT OF THE NUR-SULTAN
18.03.2021 23:55;SPAM;HOUSE OF MINISTRIES
18.03.2021 17:30;DDOS;POLICE DEPARTMENT
18.03.2021 17:00;DDOS;SUPREME COURT
18.03.2021 16:10;PHISHING;HOUSE OF MINISTRIES
18.03.2021 15:41;PHISHING;SUPREME COURT
18.03.2021 15:35;PHISHING;MINISTRY OF DIGITAL DEVELOPMENT
18.03.2021 14:00;PHISHING;SUPREME COURT
18.03.2021 10:40;SPAM;SUPREME COURT
18.03.2021 9:29;UNAUTHORIZED ACCESS;SUPREME COURT
18.03.2021 8:00;SPAM;POLICE DEPARTMENT
18.03.2021 6:30;BOTNET;SUPREME COURT
18.03.2021 2:55;MALWARE;MINISTRY OF DEFENCE
18.03.2021 1:39;SECURITY SYSTEM FAULT;POLICE DEPARTMENT
18.03.2021 1:00;PHISHING;AKIMAT OF THE NUR-SULTAN
18.03.2021 0:30;DDOS;POLICE DEPARTMENT
18.03.2021 0:30;PHISHING;POLICE DEPARTMENT
17.03.2021 21:30;INTERNAL OFFENER;POLICE DEPARTMENT
17.03.2021 17:54;UNAUTHORIZED ACCESS;AKIMAT OF THE NUR-SULTAN
17.03.2021 8:47;PHISHING;AKIMAT OF THE NUR-SULTAN
17.03.2021 5:45;SPAM;POLICE DEPARTMENT
17.03.2021 5:34;PHISHING;E-GOV DATA CENTER
16.03.2021 22:25;INTERNAL OFFENER;MINISTRY OF DIGITAL DEVELOPMENT
16.03.2021 17:18;SPAM;SUPREME COURT
16.03.2021 17:07;MALWARE;AKIMAT OF THE NUR-SULTAN
16.03.2021 16:47;MALWARE;OFFICE OF THE PRIME-MINISTER
16.03.2021 14:10;SPAM;AKIMAT OF THE NUR-SULTAN
16.03.2021 11:58;SPAM;AKIMAT OF THE NUR-SULTAN
16.03.2021 10:17;PHISHING;OFFICE OF THE PRESIDENT
16.03.2021 8:30;INTERNAL OFFENER;PARLIAMENT
16.03.2021 8:30;INTERNAL OFFENER;PARLIAMENT
16.03.2021 7:20;SPAM;MINISTRY OF DIGITAL DEVELOPMENT
16.03.2021 5:11;SECURITY SYSTEM FAULT;SUPREME COURT
16.03.2021 3:41;PHISHING;MINISTRY OF DEFENCE
16.03.2021 0:08;SECURITY SYSTEM FAULT;HOUSE OF MINISTRIES
08.03.2021 22:30;DDOS;AKIMAT OF THE NUR-SULTAN
08.03.2021 20:43;MALWARE;POLICE DEPARTMENT
08.03.2021 20:04;PHISHING;HOUSE OF MINISTRIES
08.03.2021 17:54;PHISHING;AKIMAT OF THE NUR-SULTAN
08.03.2021 17:38;MALWARE;MINISTRY OF DEFENCE
08.03.2021 14:23;RANSOMWARE;AKIMAT OF THE NUR-SULTAN
08.03.2021 14:05;SPAM;HOUSE OF MINISTRIES
08.03.2021 13:10;PHISHING;OFFICE OF THE PRIME-MINISTER
08.03.2021 11:20;MALWARE;POLICE DEPARTMENT
08.03.2021 10:00;MALWARE;POLICE DEPARTMENT
08.03.2021 7:40;MALWARE;E-GOV DATA CENTER
08.03.2021 6:00;SPAM;POLICE DEPARTMENT
08.03.2021 3:10;DDOS;E-GOV DATA CENTER
08.03.2021 1:44;UNAUTHORIZED ACCESS;HOUSE OF MINISTRIES
08.03.2021 1:30;MALWARE;AKIMAT OF THE NUR-SULTAN
08.03.2021 0:01;DDOS;HOUSE OF MINISTRIES
07.03.2021 22:44;UNAUTHORIZED ACCESS;AKIMAT OF THE NUR-SULTAN
07.03.2021 22:30;MALWARE;HOUSE OF MINISTRIES
07.03.2021 22:06;UNAUTHORIZED ACCESS;HOUSE OF MINISTRIES
07.03.2021 16:00;DDOS;OFFICE OF THE PRESIDENT
07.03.2021 14:30;PHISHING;POLICE DEPARTMENT
07.03.2021 12:20;MALWARE;HOUSE OF MINISTRIES
07.03.2021 12:00;SPAM;HOUSE OF MINISTRIES
07.03.2021 11:52;PHISHING;AKIMAT OF THE NUR-SULTAN
07.03.2021 9:00;SPAM;POLICE DEPARTMENT
07.03.2021 6:04;SPAM;AKIMAT OF THE NUR-SULTAN
07.03.2021 4:38;SECURITY SYSTEM FAULT;OFFICE OF THE PRESIDENT
07.03.2021 4:21;SPAM;AKIMAT OF THE NUR-SULTAN
07.03.2021 3:45;PHISHING;OFFICE OF THE PRESIDENT
07.03.2021 3:15;SECURITY SYSTEM FAULT;SUPREME COURT
07.03.2021 2:12;UNAUTHORIZED ACCESS;HOUSE OF MINISTRIES
07.03.2021 1:33;SPAM;HOUSE OF MINISTRIES
07.03.2021 0:45;SPAM;PARLIAMENT
07.03.2021 0:18;UNAUTHORIZED ACCESS;MINISTRY OF DIGITAL DEVELOPMENT
06.03.2021 21:31;DDOS;MINISTRY OF DEFENCE
06.03.2021 19:55;SPAM;MINISTRY OF DIGITAL DEVELOPMENT
06.03.2021 12:45;NETWORK ATTACK;AKIMAT OF THE NUR-SULTAN
06.03.2021 11:15;SPAM;PARLIAMENT
06.03.2021 10:30;SPAM;POLICE DEPARTMENT
06.03.2021 8:45;SPAM;OFFICE OF THE PRESIDENT
06.03.2021 6:00;INTERNAL OFFENER;MINISTRY OF DIGITAL DEVELOPMENT
06.03.2021 4:55;PHISHING;HOUSE OF MINISTRIES
06.03.2021 4:30;SECURITY SYSTEM FAULT;AKIMAT OF THE NUR-SULTAN
06.03.2021 0:19;BOTNET;HOUSE OF MINISTRIES
05.03.2021 22:23;SECURITY SYSTEM FAULT;HOUSE OF MINISTRIES
05.03.2021 22:00;WEBSITE UNAVAILABILITY;AKIMAT OF THE NUR-SULTAN
05.03.2021 22:00;WEBSITE UNAVAILABILITY;AKIMAT OF THE NUR-SULTAN
05.03.2021 21:25;BOTNET;HOUSE OF MINISTRIES
05.03.2021 21:00;WEBSITE UNAVAILABILITY;AKIMAT OF THE NUR-SULTAN
05.03.2021 21:00;WEBSITE UNAVAILABILITY;AKIMAT OF THE NUR-SULTAN
05.03.2021 21:00;WEBSITE UNAVAILABILITY;AKIMAT OF THE NUR-SULTAN
05.03.2021 20:49;RANSOMWARE;HOUSE OF MINISTRIES
05.03.2021 20:00;WEBSITE UNAVAILABILITY;AKIMAT OF THE NUR-SULTAN
05.03.2021 20:00;WEBSITE UNAVAILABILITY;AKIMAT OF THE NUR-SULTAN
05.03.2021 20:00;WEBSITE UNAVAILABILITY;AKIMAT OF THE NUR-SULTAN
05.03.2021 20:00;WEBSITE UNAVAILABILITY;AKIMAT OF THE NUR-SULTAN
05.03.2021 20:00;WEBSITE UNAVAILABILITY;AKIMAT OF THE NUR-SULTAN
05.03.2021 19:30;PHISHING;AKIMAT OF THE NUR-SULTAN
05.03.2021 19:15;PHISHING;POLICE DEPARTMENT
05.03.2021 19:00;WEBSITE UNAVAILABILITY;AKIMAT OF THE NUR-SULTAN
05.03.2021 19:00;WEBSITE UNAVAILABILITY;AKIMAT OF THE NUR-SULTAN
05.03.2021 18:30;SPAM;AKIMAT OF THE NUR-SULTAN
05.03.2021 18:20;PHISHING;OFFICE OF THE PRIME-MINISTER
05.03.2021 16:08;PHISHING;SUPREME COURT
05.03.2021 16:00;PHISHING;HOUSE OF MINISTRIES
05.03.2021 12:26;RANSOMWARE;AKIMAT OF THE NUR-SULTAN
05.03.2021 11:00;WEBSITE UNAVAILABILITY;AKIMAT OF THE NUR-SULTAN
05.03.2021 11:00;WEBSITE UNAVAILABILITY;AKIMAT OF THE NUR-SULTAN
05.03.2021 11:00;WEBSITE UNAVAILABILITY;AKIMAT OF THE NUR-SULTAN
05.03.2021 7:06;SPAM;AKIMAT OF THE NUR-SULTAN
05.03.2021 5:22;UNAUTHORIZED ACCESS;AKIMAT OF THE NUR-SULTAN
05.03.2021 0:01;WEBSITE UNAVAILABILITY;HOUSE OF MINISTRIES
05.03.2021 0:01;BOTNET;HOUSE OF MINISTRIES
04.03.2021 23:44;SPAM;HOUSE OF MINISTRIES
04.03.2021 22:46;DDOS;MINISTRY OF DIGITAL DEVELOPMENT
04.03.2021 22:10;SPAM;PARLIAMENT
04.03.2021 19:12;SPAM;E-GOV DATA CENTER
04.03.2021 18:55;MALWARE;PARLIAMENT
04.03.2021 17:23;PHISHING;SUPREME COURT
04.03.2021 14:30;SPAM;MINISTRY OF DEFENCE
04.03.2021 13:50;SPAM;POLICE DEPARTMENT
04.03.2021 13:00;SPAM;POLICE DEPARTMENT
04.03.2021 11:21;RANSOMWARE;SUPREME COURT
04.03.2021 11:00;SPAM;AKIMAT OF THE NUR-SULTAN
04.03.2021 9:46;SPAM;POLICE DEPARTMENT
04.03.2021 6:20;SPAM;AKIMAT OF THE NUR-SULTAN
04.03.2021 3:17;BOTNET;HOUSE OF MINISTRIES
04.03.2021 3:17;WEBSITE UNAVAILABILITY;HOUSE OF MINISTRIES
04.03.2021 1:30;SECURITY SYSTEM FAULT;E-GOV DATA CENTER
04.03.2021 0:33;SPAM;AKIMAT OF THE NUR-SULTAN
04.03.2021 0:13;PHISHING;SUPREME COURT
03.03.2021 18:27;DDOS;E-GOV DATA CENTER
03.03.2021 18:20;SPAM;POLICE DEPARTMENT
03.03.2021 17:30;SECURITY SYSTEM FAULT;SUPREME COURT
03.03.2021 16:30;PHISHING;OFFICE OF THE PRIME-MINISTER
03.03.2021 16:30;PHISHING;OFFICE OF THE PRIME-MINISTER
03.03.2021 16:15;MALWARE;POLICE DEPARTMENT
03.03.2021 14:35;SPAM;HOUSE OF MINISTRIES
03.03.2021 14:21;MALWARE;HOUSE OF MINISTRIES
03.03.2021 14:05;PHISHING;AKIMAT OF THE NUR-SULTAN
03.03.2021 14:00;PHISHING;E-GOV DATA CENTER
03.03.2021 9:10;SPAM;E-GOV DATA CENTER
03.03.2021 0:58;UNAUTHORIZED ACCESS;AKIMAT OF THE NUR-SULTAN
03.03.2021 0:01;WEBSITE UNAVAILABILITY;HOUSE OF MINISTRIES
03.03.2021 0:01;BOTNET;HOUSE OF MINISTRIES
02.03.2021 22:55;BOTNET;HOUSE OF MINISTRIES
02.03.2021 20:00;PHISHING;PARLIAMENT
02.03.2021 19:35;BOTNET;AKIMAT OF THE NUR-SULTAN
02.03.2021 13:37;MALWARE;MINISTRY OF DIGITAL DEVELOPMENT
02.03.2021 13:30;PHISHING;AKIMAT OF THE NUR-SULTAN
02.03.2021 10:18;NETWORK ATTACK;SUPREME COURT
02.03.2021 2:25;PHISHING;E-GOV DATA CENTER
02.03.2021 1:00;PHISHING;PARLIAMENT
22.02.2021 23:56;PHISHING;MINISTRY OF DEFENCE
